code,name,time,netProfit ,netProfit Growth,eps,epsGrowth,interestRates,PE,dividendYield,payoutRatio,netAssetValue,currency,rate,year,month
02788,精熙國際,2015-12-01,31.0,-20.91,0.038,-21.01,0.1697,31.86,14.03,446.94,1.2709,港元,7.751,2015,12
02788,精熙國際,2016-12-01,36.0,15.79,0.0442,16.37,0.1698,33.03,11.63,384.21,1.1224,港元,7.754,2016,12
02788,精熙國際,2017-12-01,45.0,24.78,0.0547,23.76,0.17,22.85,13.6,310.8,1.0774,港元,7.814,2017,12
02788,精熙國際,2018-12-01,60.0,33.7,0.0736,34.63,0.17,8.01,28.81,230.85,0.9627,港元,7.834,2018,12
02788,精熙國際,2019-12-01,39.0,-35.06,0.0475,-35.5,0.044,12.0,7.72,92.62,0.8446,港元,7.787000000000001,2019,12
02789,遠大中國,2015-12-01,-226.0,-35.06,-0.0365,-35.5,0.0,-5.18,0.0,0.0,0.602,港元,1.1761,2015,12
02789,遠大中國,2016-12-01,97.0,-35.06,0.0156,-35.5,0.0,7.58,0.0,0.0,0.5644,港元,1.11125,2016,12
02789,遠大中國,2017-12-01,73.0,-24.82,0.0117,-24.48,0.0,8.77,0.0,0.0,0.6444,港元,1.1989,2017,12
02789,遠大中國,2018-12-01,90.0,23.89,0.0145,23.07,0.0,4.7,0.0,0.0,0.4966,港元,1.1386,2018,12
02789,遠大中國,2019-12-01,100.0,11.42,0.0162,12.06,0.0,3.76,0.0,0.0,0.4966,港元,1.1175,2019,12
02798,久泰邦達能源,2015-12-01,52.0,11.42,0.0776,12.06,0.0,0.0,0.0,0.0,0.4966,港元,1.1761,2015,12
02798,久泰邦達能源,2016-12-01,57.0,8.7,0.1031,32.85,0.0,0.0,0.0,0.0,0.4966,港元,1.11125,2016,12
02798,久泰邦達能源,2017-12-01,99.0,75.05,0.2761,167.74,0.0,0.0,0.0,0.0,0.4966,港元,1.1989,2017,12
02798,久泰邦達能源,2018-12-01,201.0,102.15,0.188,-31.92,0.0,0.0,0.0,0.0,0.7061,港元,1.1386,2018,12
02798,久泰邦達能源,2019-12-01,244.0,21.41,0.1523,-18.97,0.025,0.0,0.0,16.41,0.8453,港元,1.1175,2019,12
02799,中國華融s,2015-12-01,17032.0,28.08,0.5057,6.65,0.0,0.0,0.0,0.0,2.9536,港元,1.1761,2015,12
02799,中國華融s,2016-12-01,21795.0,27.97,0.5556,9.87,0.1674,0.0,0.0,30.12,3.2778,港元,1.11125,2016,12
02799,中國華融s,2017-12-01,26367.0,20.97,0.6714,20.83,0.2025,0.0,0.0,30.16,3.9331,港元,1.1989,2017,12
02799,中國華融s,2018-12-01,1794.0,-93.2,0.0455,-93.22,0.0138,0.0,0.0,30.25,3.5157,港元,1.1386,2018,12
02799,中國華融s,2019-12-01,1592.0,-11.26,0.0447,-1.85,0.0123,0.0,0.0,27.5,3.5157,港元,1.1175,2019,12
02800,盈富基金s,2014-12-01,0.0,-11.26,0.0,-1.85,0.84,0.0,4.02,27.5,3.5157,港元,1.0,2014,12
02800,盈富基金s,2015-12-01,0.0,-11.26,0.0,-1.85,0.81,0.0,3.2,27.5,3.5157,港元,1.0,2015,12
02800,盈富基金s,2016-12-01,0.0,-11.26,0.0,-1.85,0.78,0.0,2.56,27.5,3.5157,港元,1.0,2016,12
02800,盈富基金s,2017-12-01,0.0,-11.26,0.0,-1.85,0.93,0.0,3.19,27.5,3.5157,港元,1.0,2017,12
02800,盈富基金s,2018-12-01,0.0,-11.26,0.0,-1.85,0.95,0.0,3.95,27.5,3.5157,港元,1.0,2018,12
02801,安碩中國ETFs,2014-12-01,0.0,-11.26,0.0,-1.85,0.55,0.0,2.52,27.5,3.5157,港元,1.0,2014,12
02801,安碩中國ETFs,2015-12-01,0.0,-11.26,0.0,-1.85,0.69,0.0,3.17,27.5,3.5157,港元,1.0,2015,12
02801,安碩中國ETFs,2016-12-01,0.0,-11.26,0.0,-1.85,0.46,0.0,1.61,27.5,3.5157,港元,1.0,2016,12
02801,安碩中國ETFs,2017-12-01,0.0,-11.26,0.0,-1.85,0.43,0.0,1.63,27.5,3.5157,港元,1.0,2017,12
02801,安碩中國ETFs,2018-12-01,0.0,-11.26,0.0,-1.85,0.34,0.0,1.36,27.5,3.5157,港元,1.0,2018,12
02802,安碩亞洲新興s,2014-12-01,0.0,-11.26,0.0,-1.85,0.76,0.0,1.61,27.5,3.5157,港元,1.0,2014,12
02802,安碩亞洲新興s,2015-12-01,0.0,-11.26,0.0,-1.85,0.96,0.0,2.03,27.5,3.5157,港元,1.0,2015,12
02802,安碩亞洲新興s,2016-12-01,0.0,-11.26,0.0,-1.85,0.7,0.0,1.22,27.5,3.5157,港元,1.0,2016,12
02802,安碩亞洲新興s,2017-12-01,0.0,-11.26,0.0,-1.85,0.76,0.0,1.43,27.5,3.5157,港元,1.0,2017,12
02802,安碩亞洲新興s,2018-12-01,0.0,-11.26,0.0,-1.85,0.77,0.0,1.65,27.5,3.5157,港元,1.0,2018,12
02805,領航亞洲s,2015-12-01,0.0,-11.26,0.0,-1.85,0.41,0.0,1.65,27.5,3.5157,港元,1.0,2015,12
02805,領航亞洲s,2016-12-01,0.0,-11.26,0.0,-1.85,0.4,0.0,1.65,27.5,3.5157,港元,1.0,2016,12
02805,領航亞洲s,2017-12-01,0.0,-11.26,0.0,-1.85,0.5,0.0,1.65,27.5,3.5157,港元,1.0,2017,12
02805,領航亞洲s,2018-12-01,0.0,-11.26,0.0,-1.85,0.5,0.0,1.65,27.5,3.5157,港元,1.0,2018,12
02805,領航亞洲s,,,,,,,,,,,,,,
02811,海通滬深三百s,2014-12-01,0.0,,0.0,,0.1123,,,,,港元,1.2479,2014,12
02811,海通滬深三百s,2015-12-01,0.0,,0.0,,0.1411,,,,,港元,1.1761,2015,12
02811,海通滬深三百s,2016-12-01,0.0,,0.0,,0.1445,,,,,港元,1.11125,2016,12
02811,海通滬深三百s,2017-12-01,0.0,,0.0,,0.1199,,,,,港元,1.1989,2017,12
02811,海通滬深三百s,2018-12-01,0.0,,0.0,,0.1252,,,,,港元,1.1386,2018,12
02819,ABF港債指數s,2015-07-01,0.0,,0.0,,1.86,,1.87,,,港元,1.0,2015,7
02819,ABF港債指數s,2016-07-01,0.0,,0.0,,1.66,,1.65,,,港元,1.0,2016,7
02819,ABF港債指數s,2017-07-01,0.0,,0.0,,1.31,,1.36,,,港元,1.0,2017,7
02819,ABF港債指數s,2018-07-01,0.0,,0.0,,1.17,,1.2,,,港元,1.0,2018,7
02819,ABF港債指數s,2019-07-01,0.0,,0.0,,1.76,,1.74,,,港元,1.0,2019,7
02821,沛富基金s,2015-06-01,0.0,,0.0,,3.56,,2.98,,,美元,1.0,2015,6
02821,沛富基金s,2016-06-01,0.0,,0.0,,2.89,,2.61,,,美元,1.0,2016,6
02821,沛富基金s,2017-06-01,0.0,,0.0,,3.17,,2.86,,,美元,1.0,2017,6
02821,沛富基金s,2018-06-01,0.0,,0.0,,3.58,,3.08,,,美元,1.0,2018,6
02821,沛富基金s,2019-06-01,0.0,,0.0,,3.4,,2.92,,,美元,1.0,2019,6
02822,南方A50s,2014-12-01,0.0,,0.0,,0.3494,,3.24,,,港元,1.2479,2014,12
02822,南方A50s,2015-12-01,0.0,,0.0,,0.294,,2.5,,,港元,1.1761,2015,12
02822,南方A50s,2016-12-01,0.0,,0.0,,0.3,,2.03,,,港元,1.11125,2016,12
02822,南方A50s,2017-12-01,0.0,,0.0,,0.3237,,2.28,,,港元,1.1989,2017,12
02822,南方A50s,2018-12-01,0.0,,0.0,,0.3074,,2.28,,,港元,1.1386,2018,12
02823,安碩Ａ５０s,2014-12-01,0.0,,0.0,,0.25,,2.24,,,港元,1.0,2014,12
02823,安碩Ａ５０s,2015-12-01,0.0,,0.0,,0.3,,2.69,,,港元,1.0,2015,12
02823,安碩Ａ５０s,2016-12-01,0.0,,0.0,,0.3,,2.05,,,港元,1.0,2016,12
02823,安碩Ａ５０s,2017-12-01,0.0,,0.0,,0.32,,2.74,,,港元,1.0,2017,12
02823,安碩Ａ５０s,2018-12-01,0.0,,0.0,,0.1252,,0.92,,,港元,1.1386,2018,12
02824,力寶專選中港地產s,2015-03-01,0.0,,0.0,,0.0,,0.0,,,港元,1.0,2015,3
02824,力寶專選中港地產s,2016-03-01,0.0,,0.0,,0.0,,0.0,,,港元,1.0,2016,3
02824,力寶專選中港地產s,2017-03-01,0.0,,0.0,,0.0,,0.0,,,港元,1.0,2017,3
02824,力寶專選中港地產s,2018-03-01,0.0,,0.0,,0.0,,0.0,,,港元,1.0,2018,3
02824,力寶專選中港地產s,2019-03-01,0.0,,0.0,,0.0,,0.0,,,港元,1.0,2019,3
02825,標智香港100s,2014-12-01,0.0,,1.12,0.0,0.43,16.64,2.31,38.39,,港元,1.0,2014,12
