code,name,price
00648,中國華仁-新,0.0
00650,ＩＤＧ能源投資,0.71
00651,中海重工,0.081
00653,卓悅控股,0.114
00655,香港華人有限公司,0.73
00656,復星國際s,9.77
00657,環科國際,0.0
00658,中國高速傳動s,4.45
00659,新創建集團s,7.7
00660,瑋俊生物科技,0.0
00661,中國大冶有色金屬,0.044000000000000004
00662,亞洲金融s,3.6
00663,金山能源,0.057999999999999996
00665,海通國際s,1.79
00666,新工投資,0.0
00667,中國東方教育s,13.22
00668,東銀國際控股,0.0
00669,創科實業s,55.7
00670,中國東方航空股份s,3.13
00672,眾安集團,0.23
00673,中國衛生集團,0.079
00674,中國唐商,0.145
00675,堅寶國際,0.0
00676,創信國際,0.0
00677,金源米業,0.6
00678,雲頂香港s,0.51
00679,亞洲聯網科技,1.19
00680,南海控股s,0.063
00681,中民控股,0.0
00682,超大現代,0.04
00683,嘉里建設s,21.25
00684,亞倫國際,1.24
00685,世界華文媒體,0.33
00686,熊貓綠能s,0.161
00687,泰昇集團s,0.56
00688,中國海外發展五百s,26.8
00689,長盈集團（控股）,0.055999999999999994
00690,聯康生物科技集團,0.14300000000000002
00691,山水水泥s,2.28
00693,陳唱國際,0.0
00694,北京首都機場股份s,5.43
00695,東吳水泥國際,0.0
00696,中國民航信息網絡s,13.9
00697,首長國際-新s,1.42
00698,通達集團s,0.51
00699,神州租車s,2.3
00700,騰訊控股s,410.0
00701,北海集團,0.35
00702,中國油氣控股,0.08900000000000001
00703,Future Bright,0.19
00704,和嘉控股,0.086
00706,美麗中國控股,0.012
00707,亞洲電視控股,0.05
00708,恒大健康s,6.03
00709,佐丹奴國際s,1.49
00710,京東方精電s,2.1
00711,亞洲聯合基建控股,0.63
00712,卡姆丹克太陽能,0.109
00713,世界（集團）,0.305
00715,中泛控股,0.255
00716,勝獅貨櫃s,0.415
00717,英皇證券,0.149
00718,太和控股,0.0
00719,山東新華製藥股份,4.24
00720,意達利控股,0.16699999999999998
00721,中國金融國際,0.094
00722,聯合醫務,1.19
00723,信保環球控股,0.0
00724,瑞鑫國際集團,0.039
00725,恆都集團,0.0
00726,築友智造科技,0.0
00727,皇冠環球集團,0.198
00728,中國電信s,2.56
00729,五龍電動車,0.125
00730,首長四方(集團),0.105
00731,森信紙業集團,0.37
00732,信利國際s,0.84
00733,合富輝煌,0.0
00736,中國置業投資,0.0
00737,灣區發展s,2.87
00738,萊爾斯丹,0.39
00743,亞洲水泥（中國）s,9.16
00745,中國國家文化產業,0.0
00746,理文化工,3.32
00747,瀋陽公用發展股份,0.17
00750,水發興業能源,0.56
00751,創維集團s,1.74
00752,筆克遠東集團s,1.25
00753,中國國航s,5.41
00754,合生創展集團s,7.62
00755,上海証大,0.035
00756,森美（集團）控股,0.0
00757,陽光能源,0.046
00758,新華聯資本,0.34
00759,CEC 國際控股,0.6
00760,新天地產集團,0.0
00762,中國聯通s,4.93
00763,中興通訊s,23.25
00764,永恒策略,0.125
00765,威發國際集團,0.75
00766,中盈集團控股,0.032
00767,亞太絲路投資,0.06
00768,開明投資,0.0
00769,中國稀土,0.285
00770,滬光國際上海發展投資,0.0
00771,自動系統,0.98
00772,閱文集團s,30.5
00775,長江生命科技,1.02
00776,帝國集團環球控股,0.0
00777,網龍s,20.55
00778,置富產業信託s,7.0
00780,同程藝龍s,12.2
00784,凌銳控股,1.58
00787,利標品牌,0.19399999999999998
00788,中國鐵塔s,1.73
00789,雅天妮集團,0.032
00794,錦勝集團（控股）,0.0
00797,第七大道,0.0
00798,中電光谷s,0.345
00799,IGG Incs,4.75
00800,Ａ８新媒體,0.139
00801,金衛醫療,0.53
00802,中國錢包,0.085
00803,昌興國際,0.062
00804,鼎石資本,0.16
00806,惠理集團s,3.41
00807,上海實業環境s,1.25
00808,泓富產業信託s,2.38
00809,大成生化科技,0.14
00810,中國互聯網投資,0.0
00811,新華文軒s,5.28
00812,西證國際證券,0.235
00813,世茂房地產s,30.55
00814,北京京客隆,1.09
00815,中國白銀集團,0.61
00816,華電福新能源s,1.3
00817,中國金茂控股s,5.22
00818,高陽科技s,0.9
00819,天能動力s,7.87
00820,匯豐中國翔龍基金,9.6
00821,匯盈控股,0.255
00822,嘉瑞國際,0.29
00823,領展房產基金s,67.85
